system 3 . sample 0;0;c;./wav/jnf/jnf_0230_ref1.wav
system 3 . sample 1;1;c;./wav/jnf/jnf_0365_ref1.wav
system 3 . sample 2;2;c;./wav/jnf/jnf_0501_ref1.wav
system 3 . sample 3;3;c;./wav/jnf/jnf_0601_ref1.wav
system 3 . sample 4;4;c;./wav/jnf/jnf_0676_ref1.wav
system 3 . sample 5;5;c;./wav/jnf/jnf_0003_ref1.wav
system 3 . sample 6;6;c;./wav/jnf/jnf_0022_ref1.wav
system 3 . sample 7;7;c;./wav/jnf/jnf_0091_ref1.wav
system 3 . sample 8;8;c;./wav/jnf/jnf_0130_ref1.wav
system 3 . sample 9;9;c;./wav/jnf/jnf_0179_ref1.wav
