<b>system 0</b> . sample 0;jpg/image.jpg;mp4/video.mp4;wav/jmf/jmf_0230_ref1.wav
<b>system 0</b> . sample 1;jpg/image.jpg;mp4/video.mp4;wav/jmf/jmf_0365_ref1.wav
<b>system 0</b> . sample 2;jpg/image.jpg;mp4/video.mp4;wav/jmf/jmf_0501_ref1.wav
<b>system 0</b> . sample 3;jpg/image.jpg;mp4/video.mp4;wav/jmf/jmf_0601_ref1.wav
<b>system 0</b> . sample 4;jpg/image.jpg;mp4/video.mp4;wav/jmf/jmf_0676_ref1.wav
<b>system 0</b> . sample 5;./jpg/image.jpg;./mp4/video.mp4;./wav/jmf/jmf_0003_ref1.wav
<b>system 0</b> . sample 6;./jpg/image.jpg;./mp4/video.mp4;./wav/jmf/jmf_0022_ref1.wav
<b>system 0</b> . sample 7;./jpg/image.jpg;./mp4/video.mp4;./wav/jmf/jmf_0091_ref1.wav
<b>system 0</b> . sample 8;./jpg/image.jpg;./mp4/video.mp4;./wav/jmf/jmf_0130_ref1.wav
<b>system 0</b> . sample 9;./jpg/image.jpg;./mp4/video.mp4;./wav/jmf/jmf_0179_ref1.wav
