system 1 . sample 0;jpg/image.jpg;mp4/video.mp4;wav/jnf/jnf_0230_ref1.wav
system 1 . sample 1;jpg/image.jpg;mp4/video.mp4;wav/jnf/jnf_0365_ref1.wav
system 1 . sample 2;jpg/image.jpg;mp4/video.mp4;wav/jnf/jnf_0501_ref1.wav
system 1 . sample 3;jpg/image.jpg;mp4/video.mp4;wav/jnf/jnf_0601_ref1.wav
system 1 . sample 4;jpg/image.jpg;mp4/video.mp4;wav/jnf/jnf_0676_ref1.wav
system 1 . sample 5;jpg/image.jpg;mp4/video.mp4;wav/jnf/jnf_0003_ref1.wav
system 1 . sample 6;jpg/image.jpg;mp4/video.mp4;wav/jnf/jnf_0022_ref1.wav
system 1 . sample 7;jpg/image.jpg;mp4/video.mp4;wav/jnf/jnf_0091_ref1.wav
system 1 . sample 8;jpg/image.jpg;mp4/video.mp4;wav/jnf/jnf_0130_ref1.wav
system 1 . sample 9;jpg/image.jpg;mp4/video.mp4;wav/jnf/jnf_0179_ref1.wav
