system 4 . sample 0;./input/jpg/image.jpg;./input/mp4/video.mp4;./input/wav/jnf/jnf_0230_ref1.wav
system 4 . sample 1;./input/jpg/image.jpg;./input/mp4/video.mp4;./input/wav/jnf/jnf_0365_ref1.wav
system 4 . sample 2;./input/jpg/image.jpg;./input/mp4/video.mp4;./input/wav/jnf/jnf_0501_ref1.wav
system 4 . sample 3;./input/jpg/image.jpg;./input/mp4/video.mp4;./input/wav/jnf/jnf_0601_ref1.wav
system 4 . sample 4;./input/jpg/image.jpg;./input/mp4/video.mp4;./input/wav/jnf/jnf_0676_ref1.wav
system 4 . sample 5;./input/jpg/image.jpg;./input/mp4/video.mp4;./input/wav/jnf/jnf_0003_ref1.wav
system 4 . sample 6;./input/jpg/image.jpg;./input/mp4/video.mp4;./input/wav/jnf/jnf_0022_ref1.wav
system 4 . sample 7;./input/jpg/image.jpg;./input/mp4/video.mp4;./input/wav/jnf/jnf_0091_ref1.wav
system 4 . sample 8;./input/jpg/image.jpg;./input/mp4/video.mp4;./input/wav/jnf/jnf_0130_ref1.wav
system 4 . sample 9;./input/jpg/image.jpg;./input/mp4/video.mp4;./input/wav/jnf/jnf_0179_ref1.wav
